1	100	2,1000	100	10	100	10,20	10	2,100	1000	
2	200	2,2000	200	11	200	10,30	10	2,200	2000	
3	300	2,3000	300	12	300	10,40	10	2,300	3000	
4	400	2,4000	400	13	400	10,50	10	2,400	4000	
5	500	2,5000	500	14	500	10,100	10	2,500	5000	
6	600	2,6000	600	15	600	10,20	10	2,600	6000	
7	700	2,7000	700	16	700	10,30	10	2,700	7000	
8	800	2,8000	800	17	800	10,40	10	2,800	8000	
9	900	2,9000	900	18	900	10,50	10	2,900	9000	
10	1000	2,10000	1000	19	1000	10,100	10	2,1000	10000	
11	1100	2,11000	1100	20	1100	10,20	10	2,1100	11000	
12	1200	2,12000	1200	21	1200	10,30	10	2,1200	12000	
13	1300	2,13000	1300	22	1300	10,40	10	2,1300	13000	
14	1400	2,14000	1400	23	1400	10,50	10	2,1400	14000	
15	1500	2,15000	1500	24	1500	10,100	10	2,1500	15000	
16	1600	2,16000	1600	25	1600	10,20	10	2,1600	16000	
17	1700	2,17000	1700	26	1700	10,30	10	2,1700	17000	
18	1800	2,18000	1800	27	1800	10,40	10	2,1800	18000	
19	1900	2,19000	1900	28	1900	10,50	10	2,1900	19000	
20	2000	2,20000	2000	29	2000	10,100	10	2,2000	20000	
