1	10	1	2,1000	10	50	1000	
2	20	2	2,2000	20	100	2000	
3	30	3	2,3000	30	150	3000	
4	40	4	2,4000	40	200	4000	
5	50	5	2,5000	50	250	5000	
6	60	6	2,6000	60	300	6000	
7	70	7	2,7000	70	350	7000	
8	80	8	2,8000	80	400	8000	
9	90	9	2,9000	90	450	9000	
10	100	10	2,10000	100	500	10000	
11	110	11	2,11000	110	550	11000	
12	120	12	2,12000	120	600	12000	
13	130	13	2,13000	130	650	13000	
14	140	14	2,14000	140	700	14000	
15	150	15	2,15000	150	750	15000	
16	160	16	2,16000	160	800	16000	
17	170	17	2,17000	170	850	17000	
18	180	18	2,18000	180	900	18000	
19	190	19	2,19000	190	950	19000	
20	200	20	2,20000	200	1000	20000	
